TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz,Rx_Deg,Ry_Deg,Rz_Deg
6.3567E+17,2.91892,0.134068,1.02199,0.00351589,2.85E-05,2.1196,1.19657,-2.59132,121.4441343,68.55841089,-148.4716994
6.3567E+17,2.91834,0.134542,1.0278,0.000567622,1.81E-06,2.11379,1.19539,-2.59557,121.1112458,68.49080187,-148.7152064
6.3567E+17,2.91895,0.133753,1.01993,0.000996754,5.14E-06,2.12167,1.19847,-2.5899,121.5627365,68.66727287,-148.3903394
6.3567E+17,2.91905,0.133622,1.0186,2.77E-05,1.43E-07,2.12299,1.19899,-2.58895,121.6383669,68.69706668,-148.3359084
6.3567E+17,2.91913,0.133523,1.01761,1.56E-05,8.04E-08,2.12398,1.19937,-2.58823,121.6950898,68.71883907,-148.2946554
6.3567E+17,2.91914,0.133507,1.01744,4.32E-07,2.23E-09,2.12415,1.19944,-2.58811,121.7048301,68.72284978,-148.2877799
6.3567E+17,2.91827,0.135667,1.03715,0.00545184,4.98E-05,2.10444,1.18788,-2.60283,120.5755302,68.06051057,-149.1311738
6.3567E+17,2.91871,0.134579,1.02734,0.00138859,1.26E-05,2.11425,1.1937,-2.59555,121.1376018,68.393972,-148.7140605
6.3567E+17,2.91904,0.133763,1.01982,0.000778946,7.09E-06,2.12177,1.19805,-2.58991,121.5684661,68.64320865,-148.3909123
6.3567E+17,2.91999,0.135483,1.02037,0.0040157,2.42E-05,2.12123,1.18905,-2.58645,121.5375264,68.12754663,-148.1926689
6.3567E+17,2.92069,0.136778,1.02082,0.0022653,1.36E-05,2.12077,1.1823,-2.58391,121.5111703,67.74080012,-148.0471376
6.3567E+17,2.91954,0.13431,1.01816,0.00771768,4.95E-05,2.12343,1.1952,-2.58697,121.6635771,68.47991567,-148.2224627
6.3567E+17,2.92014,0.135552,1.01934,0.00197973,1.26E-05,2.12225,1.1887,-2.58527,121.5959681,68.10749311,-148.1250599
