TimeStamp,X,Y,Theta
635669583821557432,3.18143,-0.0807002,5.36428
635669583823168389,3.18276,-0.0807266,5.38147
635669583824719509,3.18177,-0.0807071,5.36861
635669583826461199,3.18151,-0.080711,5.36518
635669583827631993,3.18146,-0.0807116,5.3646
635669583829363206,3.18151,-0.0804969,5.42941
635669583831114430,3.18007,-0.0809608,5.3742
635669583832935718,3.18215,-0.0804319,5.52289
635669583834808609,3.18181,-0.0804609,5.54512
635669583835919994,3.18146,-0.0805252,5.54323
635669583837581205,3.18058,-0.0810866,5.46978
635669583838721982,3.18043,-0.0811811,5.4587
635669583840453197,3.17882,-0.0812995,5.47051
635669583842433614,3.17767,-0.081352,5.48328
635669583843434346,3.17747,-0.0813606,5.48539
635669583845155460,3.17426,-0.0814059,5.4536
635669583846246338,3.17372,-0.081413,5.44826
635669583847887379,3.1715,-0.0811299,5.43511
635669583849058498,3.17052,-0.0809863,5.42991
635669583850719374,3.16957,-0.0813272,5.41253
635669583852500844,3.17007,-0.0817506,5.42076
635669583853731561,3.17015,-0.0818221,5.42207
635669583855462725,3.17177,-0.0813074,5.45905
635669583857263973,3.17218,-0.0811775,5.46823
635669583858254817,3.17225,-0.0811558,5.46976
635669583860095985,3.1723,-0.0811395,5.47091
635669583861196873,3.17231,-0.0811368,5.4711
635669583862988279,3.17231,-0.0811348,5.47124
635669583864839363,3.17231,-0.0811343,5.47128
635669583866040170,3.17231,-0.0811342,5.47128
635669583867731374,3.17231,-0.0811341,5.47128
635669583868732074,3.17231,-0.0811341,5.47129
635669583870463298,3.17231,-0.0811341,5.47129
635669583871694218,3.17231,-0.0811341,5.47129
635669583873365354,3.17231,-0.0811341,5.47129
635669583874516146,3.17231,-0.0811341,5.47129
635669583876107519,3.17105,-0.081038,5.45472
635669583877328264,3.17084,-0.0810221,5.4519
635669583879069381,3.17069,-0.0810103,5.44976
635669583880270219,3.1715,-0.0810718,5.46067
635669583881921370,3.17191,-0.0811029,5.46601
635669583882922087,3.17191,-0.0811029,5.46601
635669583884623321,3.16858,-0.0812599,5.46666
635669583885724183,3.16961,-0.0811329,5.45795
635669583887505334,3.17096,-0.0811333,5.46467
635669583889356620,3.16668,-0.0813461,5.46665
635669583890427886,3.16645,-0.08146,5.47726
635669583892149126,3.16633,-0.0815176,5.48243
635669583893249871,3.16628,-0.0815466,5.48498
635669583895081160,3.14232,-0.086994,5.44515
635669583896201959,3.13034,-0.089709,5.42446
635669583897903153,3.12135,-0.0917445,5.40887
635669583898903845,3.11986,-0.0920837,5.40627
635669583900565020,3.11911,-0.0922532,5.40497
635669583902456351,3.10171,-0.0864409,5.73381
635669583903727273,3.09297,-0.0835523,5.99508
635669583905388419,3.07994,-0.0847536,5.72661
635669583906389262,3.07058,-0.0835331,5.74066
635669583908089513,3.05259,-0.0791007,0.00879494
635669583909200102,3.04954,-0.0783687,0.112513
635669583910911270,3.03528,-0.0903636,5.7915
635669583912192162,3.03528,-0.0903636,5.7915
