TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz
635670246010309378,2.96385,-0.0427404,3.50421,0.109857,0.000450946,-0.362615,1.14793,1.17929
635670246011039907,2.96218,-0.0426072,3.50592,0.00302875,1.25262E-05,-0.364329,1.1409,1.1773
635670246012801138,2.97411,-0.0415369,3.4501,0.148172,0.000199368,-0.308511,1.15296,1.23937
635670246014712484,2.96391,-0.0422434,3.49371,0.108441,0.000150226,-0.352117,1.13878,1.19088
635670246015923483,2.96221,-0.0423564,3.50068,0.00300906,4.1728E-06,-0.359092,1.13633,1.18309
635670246017694590,2.98283,-0.0414119,3.49819,0.456514,0.00324344,-0.356595,1.24936,1.19962
635670246019545924,2.94737,-0.0390639,3.51968,1.32201,0.00337026,-0.378085,1.13353,1.17706
635670246020756756,2.9416,-0.038527,3.52218,0.0360491,9.36405E-05,-0.380591,1.11421,1.17437
635670246022387941,2.9373,-0.0380976,3.52393,0.0201754,5.26758E-05,-0.382333,1.09972,1.1725
635670246023558855,2.93659,-0.0380239,3.52421,0.000559003,1.46327E-06,-0.382613,1.0973,1.17219
635670246025289954,2.98399,-0.0409694,3.49778,2.37568,0.00569136,-0.356192,1.2478,1.20176
635670246026471152,2.96728,-0.0403709,3.5069,0.292071,0.00116936,-0.365308,1.17957,1.18963
635670246028312462,2.95505,-0.0395865,3.5116,0.161411,0.000657785,-0.370005,1.12838,1.18265
635670246029373375,3.02811,-0.0408607,3.43462,5.47446,0.0184756,-0.29303,1.39932,1.26977
635670246031194535,3.08528,-0.0362889,1.01922,3.29896,3.9896,2.12237,1.52995,-2.59059
635670246032295260,3.09482,-0.0350653,0.752659,0.0948157,0.00028917,2.38893,1.49917,-2.32279
635670246034156584,3.10196,-0.034062,0.668865,0.0537336,0.000162614,2.47273,1.47466,-2.23807
635670246035967919,2.98709,-0.0412019,3.49398,13.2488,3.95719,-0.35239,1.24915,1.20475
635670246037158699,2.96882,-0.0404952,3.50531,0.348398,0.00119323,-0.36372,1.18025,1.19081
635670246038969968,2.95543,-0.0396191,3.51124,0.192592,0.000671211,-0.36965,1.12855,1.1829
635670246040120789,2.95323,-0.0394446,3.51208,0.00530396,1.86456E-05,-0.370485,1.11993,1.18174
635670246041862008,2.95158,-0.0393084,3.51268,0.00297691,1.04883E-05,-0.371087,1.11347,1.18089
635670246042932909,2.95131,-0.0392852,3.51278,8.26009E-05,2.91432E-07,-0.371185,1.11239,1.18075
635670246044724033,3.04962,-0.0405737,3.28618,9.9949,0.0137483,-0.144587,1.33406,1.41904
635670246045884906,3.10012,-0.0383042,2.90924,2.58143,0.00345556,0.232348,1.42906,1.80171
635670246047826238,3.13824,-0.0353155,2.24179,1.46562,0.00194404,0.899799,1.46491,2.47344
635670246049657519,3.14777,-0.034397,2.03501,0.0918786,0.000121521,1.10659,1.46396,2.68129
635670246050768434,3.14936,-0.0342372,2.00128,0.00255329,3.37566E-06,1.14032,1.46336,2.7152
635670246052519549,3.12079,-0.0373164,0.950602,0.985111,3.99759,2.19099,1.4864,-2.52435
635670246053690389,3.11601,-0.0379088,0.778421,0.0286848,6.69576E-05,2.36317,1.47996,-2.35335
